iter	Passed	Remaining
0	1	103
1	1	92
2	2	86
3	3	79
4	4	77
5	4	76
6	5	74
7	6	73
8	7	72
9	7	71
10	8	70
11	9	69
12	10	68
13	11	68
14	12	69
15	13	68
16	13	67
17	14	66
18	15	66
19	16	65
20	17	64
21	18	63
22	18	62
23	19	62
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	51
36	29	50
37	30	50
38	31	49
39	32	48
40	32	47
41	33	45
42	34	45
43	34	44
44	35	43
45	36	42
46	37	41
47	37	41
48	38	40
49	39	39
50	40	38
51	41	37
52	41	37
53	42	36
54	43	35
55	43	34
56	44	33
57	45	32
58	46	32
59	46	31
60	47	30
61	48	29
62	49	28
63	50	28
64	50	27
65	51	26
66	52	25
67	53	25
68	54	24
69	54	23
70	55	22
71	56	21
72	57	21
73	57	20
74	58	19
75	59	18
76	60	17
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	66	11
85	67	10
86	68	10
87	68	9
88	69	8
89	70	7
90	71	7
91	72	6
92	72	5
93	73	4
94	74	3
95	75	3
96	75	2
97	76	1
98	77	0
99	78	0
